product_id,spec_name,spec_value
1,CPU,"Intel® Core™ Ultra 7 Processor 258V 32GB 1.8 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 8 Threads)
Intel® AI Boost NPU up to 47 TOPS"
1,RAM,32GB LPDDR5 8533 MT/s Onboard
1,Ổ cứng,"1TB NVMe PCIe Gen 4 SSD chuẩn EVO (1 khe SSD, Hỗ trợ nâng cấp tối đa 2TB)"
1,Card đồ họa,Intel® Arc™ Graphics 140V
1,Màn hình,"14"" 3K (2880x1800) OLED SlimBezel, HDR 550 nits (400 native), DCI-P3 100% / Adobe100%, 90Hz"
1,Cổng giao tiếp,"USB Type-C
2x USB Type-C™ ports
1x USB Type-C™ port supporting:
• USB4® 40Gbps
• DisplayPort over USB-C
• Thunderbolt™ 4
• USB charging 5 V; 3 A
• DC-in port 20 V; 65 W
USB Standard A
2x USB Standard-A ports, supporting:
• One port for USB 3.2 Gen 1
• One port for USB 3.2 Gen 1 featuring power off USB charging
1x HDMI® 2.1 port with HDCP support
1x Headphone/speaker jack"
1,Audio,"DTS® X:Ultra Audio, featuring optimized Bass, Loudness, Speaker"
1,Bàn phím,"Có LED trắng, bảo mật vân tay"
1,Bảo mật,"Firmware Trusted Platform Module (TPM) solution 
BIOS user, supervisor passwords"
1,Chuẩn WIFI,Killer™ Wi-Fi 7 Wireless LAN
1,Bluetooth,v5.4
1,Webcam,1440p QHD video at 30 fps with Temporal Noise Reduction
1,Hệ điều hành,Windows 11 Home Single Language
1,Trọng lượng,1.26 kg
1,Pin,3 Cell 65Whrs
1,Màu sắc,Steam Blue
1,Chất liệu,"Cover A, C, D: Aluminum 
Cover B: ABS Plastic"
1,Kích thước,312.4 (W) x 221.2 (D) x 9.7/15.95 (H) mm
2,CPU,"Intel® Core™ Ultra 5 Processor 226V 16GB 1.6 GHz (8MB Cache, up to 4.5 GHz, 8 cores, 8 Threads); Intel® AI Boost NPU up to 40 TOPS"
2,RAM,16GB LPDDR5 8533 MT/s Onboard
2,Ổ cứng,"1TB NVMe PCIe Gen 4 SSD chuẩn EVO (1 khe SSD, Hỗ trợ nâng cấp tối đa 2TB)"
2,Card đồ họa,Intel® Arc™ Graphics 130V
2,Màn hình,"14"" 3K (2880 x 1800) OLED SlimBezel, HDR 550 nits (400 native), DCI-P3 100% / Adobe100%, 90Hz"
